Dates,SPY US Equity PX_LAST,SPY US Equity PX_MID,SPY US Equity PX_VOLUME,EZU US Equity PX_LAST,EZU US Equity PX_MID,EZU US Equity PX_VOLUME,EWJ US Equity PX_LAST,EWJ US Equity PX_MID,EWJ US Equity PX_VOLUME,VIX Index PX_LAST,NKYVF Index PX_LAST,V2X Index PX_LAST
2012-02-27,106.562,106.6008,145728833,21.3544,23.753,258726,30.7449,30.791,4146708,18.19,100000,24.2211
2012-02-28,106.872,106.9194,129355808,21.5568,24.1004,152564,31.2364,31.2671,3915278,17.96,99553.23,23.7173
2012-02-29,106.4532,106.2396,185934689,21.2599,22.164,332041,30.6835,30.6374,5205787,18.43,102086.1,23.9289
2012-03-01,107.0048,107.1369,145026117,21.6243,21.9987,212407,30.8524,30.8524,3248309,17.26,103933.4,22.8624
2012-03-02,106.6801,106.7174,120638224,21.3814,23.1693,155117,30.5606,30.6067,2903218,17.29,99776.77,22.5637
2012-03-05,106.2434,106.3522,140764992,21.3274,21.2667,889136,30.3764,30.4992,3487372,18.05,98600.6,23.7979
2012-03-06,104.6896,104.6041,202129838,20.3356,22.1741,2078329,30.1153,30.0999,4634515,20.87,95019.03,28.5625
2012-03-07,105.4199,105.5015,143692128,20.6662,20.7775,734218,30.3149,30.3303,5762179,19.07,94417.92,28.2266
2012-03-08,106.4687,106.5309,116968812,21.3274,21.2667,274345,30.8371,30.8371,8766424,17.95,94667.16,25.0964
2012-03-09,106.8805,106.9932,122836765,21.098,23.6821,195900,30.9599,30.8831,9376885,17.11,99276.07,22.895
2012-03-12,106.8883,107.0009,104003471,21.1655,23.5371,172644,30.6528,30.6989,3136152,15.64,98605.81,23.0102
2012-03-13,108.8166,108.8578,184090417,21.4961,21.4961,150998,30.9292,30.8985,5498875,14.8,96405.98,20.9307
2012-03-14,108.6985,108.6868,145163502,21.3814,21.3847,159927,30.576,30.576,3680122,15.31,96836.36,21.1237
2012-03-15,109.3278,109.2695,165118448,21.6917,23.8575,182144,30.8371,30.8371,3758970,15.42,96720.77,19.3479
2012-03-16,109.479,109.5181,152893405,21.8469,21.8435,405987,31.006,30.9906,3005417,14.47,92168.55,18.5202
2012-03-19,109.9082,109.9199,125291026,21.9954,22.0122,115216,31.1135,31.0981,2099868,15.04,90724.17,18.3551
2012-03-20,109.5883,109.5883,121729639,21.7592,23.9621,386831,30.8064,30.8678,2132088,15.58,90724.17,19.9117
2012-03-21,109.4088,109.4283,122388401,21.5973,21.5872,102183,30.6374,30.5914,2705105,15.13,87192.81,20.0254
2012-03-22,108.6207,108.7572,135216691,21.2869,21.3173,353229,30.6835,30.7142,4372776,15.57,86221.41,21.9103
2012-03-23,108.9718,109.124,120520956,21.4556,21.4725,207970,30.6835,30.7296,2656856,14.82,86279.99,21.6583
2012-03-26,110.5013,110.79,120163949,21.8402,21.685,281912,30.8985,30.9139,3089403,14.26,85062.73,21.3398
2012-03-27,110.1579,110.0916,119868421,21.5231,23.9824,110022,31.1289,31.1135,3851533,15.59,84353.18,22.3987
2012-03-28,109.6117,109.5922,148562025,21.3004,23.8677,117335,31.2056,31.221,5242819,15.47,82862.61,23.0813
2012-03-29,109.4244,109.4517,164963645,21.0643,23.8677,241305,31.1596,31.1442,3071437,15.48,82921.94,25.3609
2012-03-30,109.877,109.9199,135486715,21.2869,23.8677,149918,31.2517,31.2364,3496242,15.5,82889.38,22.5463
2012-04-02,110.6807,110.5442,151741045,21.5298,23.8677,424838,31.2978,31.2978,3078343,15.64,80867.1,21.2165
2012-04-03,110.2281,110.2555,155806609,20.9698,23.8677,553827,30.8985,30.9292,2771197,15.66,81532.98,22.2736
2012-04-04,109.1357,109.0772,146895936,20.3558,21.2903,316440,30.1767,30.2074,3560152,16.44,87721.91,25.8591
2012-04-05,109.0811,108.8821,137439344,20.1399,20.9833,426050,30.1767,30.1767,3565115,16.7,86796.34,25.5879
2012-04-06,109.0811,108.8821,137439344,20.1399,20.9833,426050,30.1767,30.1767,3565115,16.7,86508.28,25.5879
2012-04-09,107.856,107.6726,127555857,20.0185,20.6358,139639,29.9924,29.9617,5372717,18.81,86765.45,25.5879
2012-04-10,106.0456,106.2992,235360256,19.4989,14.6141,296916,29.6392,29.7006,7850818,20.39,85326.91,30.6779
2012-04-11,106.904,106.8259,154132907,19.8296,20.5582,236192,30.0385,29.9617,4910601,20.02,86896.14,29.4908
2012-04-12,108.3008,108.5153,154321489,20.1804,20.5818,225068,30.1767,30.1921,3376029,17.2,85089.31,27.6118
2012-04-13,107.0132,106.8845,169246612,19.5394,22.3057,140247,29.8542,29.8849,2270577,19.55,84612.47,29.4063
2012-04-16,106.943,106.8377,147825217,19.7688,19.7621,416564,29.9156,29.9003,3589853,19.55,87579.68,28.8612
2012-04-17,108.5286,108.371,147877575,20.1804,20.5785,669565,30.0999,30.0539,2755391,18.46,86486.2,26.5949
2012-04-18,108.1603,107.9613,123884187,19.8363,22.4744,223824,30.0385,30.0231,2593552,18.64,83599.43,27.6847
2012-04-19,107.4658,107.5087,198666751,19.5529,22.0426,278299,29.8389,29.8389,2581525,18.36,84814.52,28.2848
2012-04-20,107.6453,107.696,143199560,19.8026,22.0426,131006,29.9156,29.9156,1798834,17.44,84463.82,26.2312
2012-04-23,106.7401,106.7557,171844860,19.31,19.391,487963,29.5778,29.6239,2989131,18.97,82322.44,29.9723
2012-04-24,107.1459,107.3176,137484192,19.5327,21.766,243625,29.7621,29.7774,4441269,18.1,84668.51,28.6556
2012-04-25,108.6129,108.6519,150254995,20.0185,20.3659,292167,29.9156,29.931,3957264,16.82,83811.56,27.4003
2012-04-26,109.3698,109.3932,136292712,20.1534,19.4517,105030,30.0692,30.1153,3853105,16.24,84267.64,26.6216
2012-04-27,109.5493,109.5376,123981420,20.3018,19.6474,111328,29.9771,29.9617,2694079,16.32,84905.44,25.4795
2012-04-30,109.1435,109.1786,115092198,20.0927,19.445,247272,29.9156,29.9464,2810473,17.15,84905.44,26.9511
2012-05-01,109.8224,109.6702,138837314,20.2479,19.6676,165684,29.6085,29.6085,5647758,16.6,84591.69,26.9511
2012-05-02,109.4985,109.4673,121080935,19.951,19.7351,151734,29.4396,29.4089,3987262,16.88,83776.43,28.0126
2012-05-03,108.6597,108.5739,143762703,19.7216,19.2426,307032,29.2092,29.1324,2426368,17.56,83776.43,27.6802
2012-05-04,106.904,106.7479,193931300,19.3977,18.9187,600685,28.9942,28.9635,1926256,19.16,83776.43,29.3836
2012-05-07,106.982,106.9781,127765875,19.6204,18.9187,1000697,29.1171,29.1324,4091294,18.94,86285.12,28.9223
2012-05-08,106.5528,106.4202,213383873,19.3573,18.8917,171265,28.8714,28.856,7475405,19.05,83075.05,31.3226
2012-05-09,105.9208,105.8388,220778190,19.0064,19.6373,526205,28.6256,28.6564,5459005,20.08,82109.06,31.2083
2012-05-10,106.1393,106.3695,150600916,19.1481,19.7756,319048,28.7485,28.7331,5532983,18.83,82541.42,29.1479
2012-05-11,105.8193,105.7881,153032360,19.1009,19.8093,276566,28.4383,28.4414,4132124,19.89,84198.88,28.3851
2012-05-14,104.6489,104.5435,163909908,18.6218,18.5982,408180,28.1189,28.1189,3680982,21.87,83767.6,31.6946
2012-05-15,104.048,104.0909,207629260,18.2575,18.6252,763376,27.7656,27.7503,5017094,21.97,85137.31,33.3144
2012-05-16,103.6493,103.6461,207265560,18.1428,17.5423,1201745,27.4585,27.4739,4622930,22.27,92014.38,33.1165
2012-05-17,102.1128,101.9997,247992908,17.9134,18.6623,296184,27.7042,27.6889,3595845,24.49,88986.93,34.4776
2012-05-18,101.2389,101.2154,319631058,17.9336,20.2243,134511,27.3049,27.3049,2697996,25.1,107908.3,33.1087
2012-05-21,102.979,103.1155,177861071,18.3722,19.0233,166605,27.5814,27.5814,2204862,22.01,102717.9,31.0253
2012-05-22,103.1584,103.0531,197531138,18.271,18.7939,379430,27.5506,27.4892,3045171,22.48,96043.25,30.0057
2012-05-23,103.2131,103.1233,204958303,18.0753,18.416,242106,27.3356,27.3203,3279044,22.33,101861.7,32.8618
2012-05-24,103.4159,103.6617,167357599,17.8392,17.7852,170306,27.2128,27.2435,8385243,21.54,104259.7,31.4557
2012-05-25,103.0804,103.0492,135465568,17.8527,17.5423,238396,27.0592,27.0899,4214463,21.76,101534.7,30.225
2012-05-28,103.0804,103.0492,135465568,17.8527,17.5423,238396,27.0592,27.0899,4214463,21.76,97434.63,31.7697
2012-05-29,104.3289,104.5123,152883408,17.9876,18.0989,176179,27.3971,27.3971,4095379,21.03,97556.38,31.4097
2012-05-30,102.8151,102.6083,162370365,17.4411,17.0295,191739,27.0285,27.0285,3053343,24.14,98012.43,34.5137
2012-05-31,102.5888,102.4015,196186175,17.5018,17.7852,300352,27.3049,27.3203,2660209,24.06,102601,34.9478
2012-06-01,100.0059,99.9162,253244993,17.0093,16.8136,201692,26.5678,26.5524,2800754,26.66,106716.8,36.3842
