Dates,EURUSD25R1M BGN Curncy (R1),USDJPY25R1M BGN Curncy (R2),EURJPY25R1M BGN Curncy (L1)
2003-10-02,0.85,-3.2,-1.7
2003-10-03,0.7,-3.3,-1.8
2003-10-06,0.7,-2.7,-1.75
2003-10-07,0.8,-3.1,-1.8
2003-10-08,0.8,-3.1,-1.8
2003-10-09,0.77500000000000002,-3,-2
2003-10-10,0.75,-3,-2
2003-10-13,0.65,-2.65,-2
2003-10-14,0.65,-2.35,-2.15
2003-10-15,0.55000000000000004,-2.4249999999999998,-1.85
2003-10-16,0.45,-1.575,-1.7
2003-10-17,0.4,-1.5,-1.55
2003-10-20,0.45,-1.375,-1.6
2003-10-21,0.35,-1.4,-1.4
2003-10-22,0.45,-1.5,-1.4
2003-10-23,0.57499999999999996,-1.45,-1.2250000000000001
2003-10-24,0.52500000000000002,-1.4,-1.1000000000000001
2003-10-27,0.45,-1.8,-1.5
2003-10-28,0.35,-1.9,-1.6
2003-10-29,0.35,-1.55,-1.6
2003-10-30,0.32500000000000001,-1.175,-1.4
2003-10-31,,-1,-1.4
2003-11-03,-7.4999999999999997E-2,-0.8,-1.25
2003-11-04,0,-1,-1.45
2003-11-05,0,-0.85,-1.6
2003-11-06,0,-0.85,-1.45
2003-11-07,-0.05,-1,-1.45
2003-11-10,,-1.5,-1.45
2003-11-11,,-1.3,-1.45
2003-11-12,0.5,-1.05,-1.1499999999999999
2003-11-13,0.5,-1.35,-1.1000000000000001
2003-11-14,0.55000000000000004,-1.4,-0.95
2003-11-17,0.55000000000000004,-1.05,-1
2003-11-18,0.75,-1.2,-0.875
2003-11-19,0.7,,-0.7
2003-11-20,0.7,,-0.7
2003-11-21,0.65,,-0.7
2003-11-24,0.55000000000000004,-0.75,-0.7
2003-11-25,0.55000000000000004,-0.6,-0.7
2003-11-26,0.6,-0.65,-0.7
2003-11-27,0.75,-0.55000000000000004,-0.6
2003-11-28,0.8,-0.65,-0.42499999999999999
2003-12-01,0.85,,
2003-12-02,0.8,,
2003-12-03,0.8,-0.85,
2003-12-04,0.7,-1.05,
2003-12-05,0.75,-1.2,
2003-12-08,0.75,-1.35,-0.8
2003-12-09,0.6,-1.35,-0.65
2003-12-10,0.6,-0.85,-0.65
2003-12-11,0.45,-0.9,-0.6
2003-12-12,0.5,-0.9,-0.52500000000000002
2003-12-15,0.42499999999999999,-0.75,
2003-12-16,0.4,-0.7,
2003-12-17,0.5,-0.65,
2003-12-18,0.45,-0.6,
2003-12-19,0.35,-0.5,
2003-12-22,0.35,-0.55000000000000004,
2003-12-23,0.35,-0.55000000000000004,
2003-12-24,0.35,-0.5,
2003-12-25,0.35,-0.5,
2003-12-26,0.35,-0.65,
2003-12-29,0.4,-0.75,-0.27500000000000002
2003-12-30,0.4,-0.8,-0.32500000000000001
2003-12-31,0.5,-0.8,
2004-01-01,0.5,-0.8,
2004-01-02,0.5,-0.7,-0.3
2004-01-05,0.45,-0.85,-0.2
2004-01-06,0.4,-1.05,-0.1
2004-01-07,0.35,-0.9,
2004-01-08,0.3,-0.85,
2004-01-09,0.35,-0.75,
2004-01-12,0.3,,-0.35
2004-01-13,0.3,,-0.4
2004-01-14,0.25,-0.72499999999999998,-0.7
2004-01-15,,-0.95,-0.75
2004-01-16,-0.05,-1,-1
2004-01-19,,-0.7,-1.05
2004-01-20,0.35,-0.57499999999999996,-0.7
2004-01-21,0.35,-0.6,-0.7
2004-01-22,0.45,-0.8,-0.6
2004-01-23,0.375,-0.85,-0.8
2004-01-26,,-0.9,-0.8
2004-01-27,,-1.1499999999999999,-1.1000000000000001
2004-01-28,,-1.25,-1.1000000000000001
2004-01-29,,-1.25,-1.35
2004-01-30,,-1.25,-1.35
2004-02-02,0.17499999999999999,-1.5,-1.3
2004-02-03,0.35,-1.5,-1.1499999999999999
2004-02-04,0.3,-1.65,-1.3
2004-02-05,0.35,-1.5,-1.3
2004-02-06,0.55000000000000004,-0.95,-0.95
2004-02-09,0.4,-0.8,
2004-02-10,0.4,-0.75,
2004-02-11,0.55000000000000004,-1,
2004-02-12,0.5,-0.8,
2004-02-13,0.42499999999999999,-1,
2004-02-16,,-0.8,-0.7
2004-02-17,,-0.65,-0.6
2004-02-18,0.3,-0.42499999999999999,-0.6
2004-02-19,,,-0.65
2004-02-20,,,-0.5
2004-02-23,-0.05,,
2004-02-24,,0,
2004-02-25,,0.2,
2004-02-26,-7.4999999999999997E-2,,
2004-03-01,-2.5000000000000001E-2,0.22500000000000001,-0.5
2004-03-02,-0.15,0.3,-0.57499999999999996
2004-03-03,,,-1.1000000000000001
2004-03-04,,,-0.9
2004-03-05,0.15,,
2004-03-08,,0.375,
2004-03-10,-0.05,,-0.85
2004-03-11,-2.5000000000000001E-2,-0.55000000000000004,-0.8
2004-03-12,0,-0.45,-0.8
2004-03-15,0,-0.6,-1
2004-03-16,0,,-1.2
2004-03-17,0,,-1.5
2004-03-18,0.22500000000000001,-2.0499999999999998,-1.75
2004-03-19,,-1.6,-1.5
2004-03-22,0.17499999999999999,-1.55,-1.4
2004-03-23,-0.1,-1.55,-1.5
2004-03-24,-0.05,-1.9,-1.6
2004-03-25,,-2.0499999999999998,-1.7
2004-03-26,,-2,-1.7
2004-03-29,-0.25,-2.15,-1.7
2004-03-30,0,-2.0499999999999998,-1.5
2004-03-31,-0.05,-2.4500000000000002,-1.7
2004-04-01,,-2,-1.7
2004-04-02,,-1.65,-1.35
2004-04-05,-0.2,-1.5,-1.65
2004-04-06,0,-1,-1.3
2004-04-07,-0.05,-1.25,-1.3
2004-04-08,-7.4999999999999997E-2,-1.1499999999999999,-1.3
2004-04-09,,-1,-1.1499999999999999
2004-04-12,-0.2,-1.1000000000000001,-1.2
2004-04-13,-0.25,-0.9,-1.35
2004-04-14,-0.25,-0.6,-1.25
2004-04-15,-0.22500000000000001,-0.55000000000000004,-0.75
2004-04-16,,-0.9,-0.9
2004-04-19,0,-0.7,-0.9
2004-04-20,-0.15,-0.9,-0.85
2004-04-21,,-0.55000000000000004,-1
2004-04-22,,-0.55000000000000004,-1
2004-04-23,,-0.85,-1
2004-04-26,-7.4999999999999997E-2,-1,-1
2004-04-27,0,-0.8,-0.7
2004-04-28,0,-0.82499999999999996,-0.7
2004-04-29,-2.5000000000000001E-2,,-0.6
2004-04-30,,,-0.7
2004-05-03,,,-0.7
2004-05-04,,-0.85,-0.6
2004-05-05,,-1.05,-0.6
2004-05-06,,-1.1000000000000001,-0.6
2004-05-07,0,-0.57499999999999996,-0.6
2004-05-10,-7.4999999999999997E-2,,-0.52500000000000002
2004-05-11,,,-0.5
2004-05-12,,-0.6,-0.5
2004-05-13,,-0.45,-0.45
2004-05-14,,-0.45,
2004-05-17,-0.05,-0.7,-0.5
2004-05-18,,,-0.65
2004-05-19,,-1,-0.8
2004-05-20,,-1,-0.95
