Date,EURUSD25R1M BGN Curncy  (R1),USDJPY25R1M BGN Curncy  (R2),EURJPY25R1M BGN Curncy  (L1)
46232,-0.53,-1.2649999999999999,-1.365
46231,-0.61,-1.3425,-1.41
46230,-0.58250000000000002,-1.365,-1.395
46227,-0.53749999999999998,-1.4,-1.45
46226,-0.53,-1.35,-1.4125000000000001
46225,-0.44750000000000001,-1.2725,-1.38
46224,-0.43,-1.26,-1.29
46223,-0.43,-1.2925,-1.345
46220,-0.42,-1.31,-1.35
46219,-0.3775,-1.27,-1.3025
46218,-0.375,-1.3075000000000001,-1.345
46217,-0.43,-1.31,-1.39
46216,-0.48499999999999999,-1.36,-1.3975
46213,-0.42499999999999999,-1.3825000000000001,-1.3825000000000001
46212,-0.45500000000000002,-1.2925,-1.26
46211,-0.46500000000000002,-1.2975000000000001,-1.3674999999999999
46210,-0.42249999999999999,-1.4475,-1.4025000000000001
46209,-0.32,-1.4075,-1.4550000000000001
46206,-0.31,-1.4650000000000001,-1.5549999999999999
46205,-0.33250000000000002,-1.4375,-1.6725000000000001
46204,-0.39500000000000002,-1.0525,-1.23
46203,-0.4,-1.105,-1.28
46202,-0.42499999999999999,-0.99750000000000005,-1.1825000000000001
46199,-0.48,-1.0974999999999999,-1.34
46198,-0.62749999999999995,-1.1174999999999999,-1.3925000000000001
46197,-0.7,-1.2,-1.4424999999999999
46196,-0.65,-1.3274999999999999,-1.5825
46195,-0.64249999999999996,-1.2775000000000001,-1.5449999999999999
46192,-0.62,-1.0649999999999999,-1.375
46191,-0.69,-1.08,-1.2975000000000001
46190,-0.46500000000000002,-0.97750000000000004,-1.075
46189,-0.36,-0.92500000000000004,-1.0175000000000001
46188,-0.35499999999999998,-0.97,-1.08
46185,-0.47499999999999998,-0.98750000000000004,-1.0874999999999999
46184,-0.47749999999999998,-1.0024999999999999,-1.105
46183,-0.62749999999999995,-0.99,-1.095
46182,-0.61250000000000004,-0.97250000000000003,-1.0925
46181,-0.59,-0.99250000000000005,-1.08
46178,-0.53500000000000003,-0.98250000000000004,-1.0125
46177,-0.35749999999999998,-0.97750000000000004,-1.0225
46176,-0.3775,-1.0249999999999999,-1.0649999999999999
46175,-0.26500000000000001,-0.93,-0.86499999999999999
46174,-0.28749999999999998,-1.0249999999999999,-0.85499999999999998
46171,-0.20499999999999999,-0.98,-0.86250000000000004
46170,-0.25,-1.0049999999999999,-0.90749999999999997
46169,-0.25750000000000001,-1.135,-0.92
46168,-0.3125,-1.1000000000000001,-0.98250000000000004
46167,-0.35499999999999998,-1.1525000000000001,-1.0175000000000001
46164,-0.44,-1.2350000000000001,-1.0375000000000001
46163,-0.45500000000000002,-1.1975,-1.085
46162,-0.46250000000000002,-1.2825,-1.1499999999999999
46161,-0.57750000000000001,-1.37,-1.2175
46160,-0.48499999999999999,-1.43,-1.2725
46157,-0.51,-1.5175000000000001,-1.3075000000000001
46156,-0.3775,-1.58,-1.385
46155,-0.40250000000000002,-1.575,-1.4524999999999999
46154,-0.35499999999999998,-1.51,-1.335
46153,-0.245,-1.3725000000000001,-1.1950000000000001
46150,-0.24249999999999999,-1.4350000000000001,-1.28
46149,-0.24249999999999999,-1.5625,-1.3525
46148,-0.29249999999999998,-1.7375,-1.4175
46147,-0.41,-1.615,-1.3925000000000001
46146,-0.39750000000000002,-1.7649999999999999,-1.6325000000000001
46143,-0.38750000000000001,-1.5549999999999999,-1.68
46142,-0.38750000000000001,-1.175,-1.2875000000000001
46141,-0.40250000000000002,-0.63249999999999995,-0.77
46140,-0.33250000000000002,-0.7,-0.84250000000000003
46139,-0.33250000000000002,-0.77,-0.90249999999999997
46136,-0.35499999999999998,-0.75,-0.91249999999999998
46135,-0.39,-0.75,-0.9
46134,-0.33500000000000002,-0.76500000000000001,-0.91249999999999998
46133,-0.28000000000000003,-0.77249999999999996,-0.92
46132,-0.1525,-0.86499999999999999,-0.99750000000000005
46129,-7.2499999999999995E-2,-0.85250000000000004,-1.0024999999999999
46128,-0.115,-0.73,-1.0049999999999999
46127,-0.1,-0.63500000000000001,-0.94
46126,-0.19750000000000001,-0.50749999999999995,-0.92749999999999999
46125,-0.48,-0.45250000000000001,-0.92
46122,-0.495,-0.45,-0.90749999999999997
46121,-0.55500000000000005,-0.46750000000000003,-0.95
46120,-0.57499999999999996,-0.49,-0.99
46119,-0.98499999999999999,-0.45250000000000001,-1.2375
46118,-1.0725,-0.48,-1.2575000000000001
46115,-1.06,-0.46500000000000002,-1.26
46114,-1.0774999999999999,-0.46750000000000003,-1.2725
46113,-0.98,-0.51,-1.2775000000000001
46112,-1.0175000000000001,-0.5,-1.32
46111,-1.2450000000000001,-0.43,-1.3075000000000001
46108,-1.3025,-0.4325,-1.335
46107,-1.2250000000000001,-0.32500000000000001,-1.21
46106,-1.095,-0.36,-1.2375
46105,-1.0874999999999999,-0.42749999999999999,-1.33
46104,-1.1475,-0.44750000000000001,-1.3674999999999999
46101,-1.19,-0.48249999999999998,-1.3125
46100,-0.99750000000000005,-0.60250000000000004,-1.5575000000000001
46099,-1.2575000000000001,-0.27750000000000002,-1.22
46098,-1.0075000000000001,-0.495,-1.355
46097,-1.175,-0.45500000000000002,-1.3674999999999999
46094,-1.4550000000000001,-0.43,-1.3425
46093,-1.3174999999999999,-0.47499999999999998,-1.22
46092,-1.2524999999999999,-0.5625,-1.05
46091,-0.92500000000000004,-0.90500000000000003,-1.2725
46090,-0.99250000000000005,-1.0725,-1.4824999999999999
46087,-1.2375,-1.2,-1.5575000000000001
46086,-0.90249999999999997,-1.4350000000000001,-1.5974999999999999
46085,-0.52500000000000002,-1.4375,-1.4750000000000001
46084,-0.6925,-1.335,-1.42
46083,-0.32750000000000001,-1.4975000000000001,-1.3125
46080,0.14249999999999999,-1.2849999999999999,-1.1174999999999999
46079,0.27250000000000002,-1.2524999999999999,-1.0425
46078,0.3,-1.2175,-0.99750000000000005
46077,0.3,-1.2775000000000001,-1.06
46076,0.29499999999999998,-1.5024999999999999,-1.2925
46073,0.1825,-1.44,-1.2350000000000001
46072,0.18,-1.335,-1.135
46071,0.46750000000000003,-1.2549999999999999,-1.07
46070,0.52749999999999997,-1.4225000000000001,-1.2524999999999999
46069,0.63500000000000001,-1.5,-1.3125
46066,0.7,-1.6475,-1.5
46065,0.82750000000000001,-1.77,-1.575
46064,0.9425,-1.7250000000000001,-1.355
46063,1.07,-1.5774999999999999,-1.1325000000000001
46062,1.0075000000000001,-1.58,-1.1850000000000001
46059,0.80500000000000005,-1.6625000000000001,-1.3075000000000001
46058,0.78749999999999998,-1.5375000000000001,-1.2150000000000001
46057,0.75749999999999995,-1.4275,-1.0375000000000001
46056,0.71,-1.5725,-1.1725000000000001
46055,0.61,-1.6325000000000001,-1.1825000000000001
46052,0.72750000000000004,-1.8525,-1.3625
46051,0.87749999999999995,-2.0525000000000002,-1.52
46050,1.0900000000000001,-2.1749999999999998,-1.625
46049,1.67,-2.4125000000000001,-1.885
46048,1.0275000000000001,-1.9450000000000001,-1.645
46045,0.82750000000000001,-1.7250000000000001,-1.62
46044,0.45250000000000001,-0.84250000000000003,-0.7
46043,0.3075,-0.77749999999999997,-0.66
